Time,User,Trial,Repetition,TrialType,LightType,SoundType,gazeDirectionL.x,gazeDirectionL.y,gazeDirectionL.z,pupilPosL.x,pupilPosL.y,pupilsDiameterL,pupilsDiameterLmm,eyeOpennessL,gazeDirectionR.x,gazeDirectionR.y,gazeDirectionR.z,pupilPosR.x,pupilPosR.y,pupilsDiameterR,pupilsDiameterRmm,eyeOpennessR,light,sound,computedBrightness
0.09179688,08121447,26,1,Sound,Twilight,arousal,-0.0144043,-0.0629425,0.9979095,-0.009240091,0.1406928,4.641754,4.620865,1,-0.04046631,-0.08029175,0.9959412,0.06316149,0.08430666,4.991852,5.011856,1,1,False,3
0.1917725,08121447,26,1,Sound,Twilight,arousal,-0.1982727,-0.06533813,0.977951,-0.1292046,0.136421,4.773514,4.7892,1,-0.1956024,-0.0693512,0.9782104,-0.05279809,0.09050035,5.106094,5.067719,1,1,False,3
0.2918091,08121447,26,1,Sound,Twilight,arousal,-0.2205353,-0.06256104,0.9733582,-0.14666,0.1326725,4.768936,4.860397,1,-0.2117767,-0.07832336,0.9741669,-0.06583208,0.08656603,5.096207,5.130859,1,1,False,3
0.3917847,08121447,26,1,Sound,Twilight,arousal,-0.3650818,-0.09518433,0.9260864,-0.2480014,0.1083363,4.866333,4.864166,1,-0.3469849,-0.1093903,0.9314575,-0.1674431,0.0634703,5.254471,5.192322,1,1,False,3
0.4918213,08121447,26,1,Sound,Twilight,arousal,-0.3581848,-0.09222412,0.9290771,-0.2480014,0.1087324,4.862366,4.862305,1,-0.3516846,-0.1142731,0.9291077,-0.1688341,0.06094623,5.200989,5.212509,1,1,False,3
0.5917969,08121447,26,1,Sound,Twilight,arousal,-0.3576202,-0.09425354,0.9290924,-0.249133,0.1080831,4.881042,4.881241,1,-0.3506012,-0.1161194,0.9292908,-0.1683327,0.06055021,5.206192,5.206314,1,1,False,3
0.6917725,08121447,26,1,Sound,Twilight,arousal,-0.08135986,-0.08834839,0.9927521,-0.04658723,0.1249883,4.756577,4.756027,1,-0.08467102,-0.1234131,0.9887238,0.02745676,0.06107283,5.085236,5.09552,1,1,False,3
0.7918091,08121447,26,1,Sound,Twilight,arousal,-0.07591248,-0.08862305,0.9931641,-0.04658723,0.1249823,4.760315,4.764938,1,-0.07821655,-0.122757,0.9893341,0.02836728,0.06292391,5.052292,5.056458,1,1,False,3
0.8917847,08121447,26,1,Sound,Twilight,arousal,-0.07713318,-0.08763123,0.9931488,-0.04880822,0.1258259,4.760147,4.778168,1,-0.07745361,-0.1182709,0.9899445,0.02948916,0.06447434,5.081177,5.069611,1,1,False,3
0.9918213,08121447,26,1,Sound,Twilight,arousal,-0.07443237,-0.08798218,0.9933319,-0.04880822,0.1258259,4.816238,4.816681,1,-0.07951355,-0.1214752,0.9893951,0.02979815,0.06386399,5.095993,5.114777,1,1,False,3
1.091797,08121447,26,1,Sound,Twilight,arousal,0.07374573,-0.0892334,0.9932709,0.05454111,0.1287436,4.771133,4.790451,0.9619979,0.0811615,-0.09823608,0.9918365,0.1299862,0.0658465,5.216583,5.203857,0.9290265,1,False,3
1.191772,08121447,26,1,Sound,Twilight,arousal,0.07872009,-0.09243774,0.9925995,0.05491602,0.1279493,4.802094,4.805511,0.9581873,0.07598877,-0.102005,0.9918671,0.1302646,0.06567085,5.224625,5.232773,0.9282016,1,False,3
